937	ABAP Programmierer
938	Abfalltechniker
939	Abfüller
940	Abkanter
941	Abrechner
942	Absolvent
943	Abteilungsleiter
944	Accountant
945	Accountmanager
946	Administrator
947	Agent
948	Akquisiteur
949	Aktuar
950	Akustiker
951	Akustikingenieur
952	Alias Designer
953	Alleinbuchhalter
954	Allrounder
955	Altenpfleger
956	Ambulante Krankenpflege
957	Ambulante Pflege
958	Amtschef
959	Analyst
960	Analytiker
961	Anästhesiepfleger
962	Anästhesist
963	Animateur
964	Anlageberater
965	Anlagenbauer
966	Anlagenfahrer
967	Anlagenführer
968	Anlagenkonstrukteur
969	Anlagenmechaniker
970	Anlagenmonteur
971	Anlagentechniker
972	Anwalt
973	Anwaltssekretär
974	Anwendungsadministrator
975	Anwendungsberater
976	Anwendungsentwickler
977	Anwendungstechniker
978	Apotheker
979	Application Engineer
980	Application Manager
981	Applikations Support Ingenieur
982	Applikationsingenieur
983	Arbeiter
984	Arbeitsvorbereiter
985	Archäologe
986	Architekt
987	Area Manager
988	Area Sales Manager
989	Art Director
990	Arzt
991	Arzthelfer
992	Arzthelferin
993	Arztsekretär
994	Arztsekretärin
995	Asphaltbauer
996	Assessment Experte
997	Asset Manager
998	Assistant Manager
999	Assistent
1000	Assistent Ausbildung
1001	Assistent Buchhaltung
1002	Assistent der Geschäftsleitung
1003	Assistent Einkauf
1004	Assistent Finance
1005	Assistent Management
1006	Assistent Personalberatung
1007	Assistent Projektleitung
1008	Assistent Rechnungswesen
1009	Assistent Reporting
1010	Assistent technischer Einkauf
1011	Assistent Vorstand
1012	Assistentin
1013	Assistenzarzt
1014	Associate Scientist
1015	Audio Ingenieur
1016	Auditor
1017	Auftragsabwickler
1018	Auftragssachbearbeiter
1019	Aufzugsmonteur
1020	Augenarzt
1021	Augenoptiker
1022	Augenoptikermeister
1023	Ausbilder
1024	Ausbildungsberuf
1025	Aushilfe
1026	Auslieferungsfahrer
1027	Außendienstmitarbeiter
1028	Außenhandelskaufmann
1029	Auszubildender
1030	Automations Ingenieur
1031	Automatisierungstechniker
1032	Automechaniker
1033	Automobilingenieur
1034	Automobilkaufmann
1035	Automobilverkäufer
1036	Automotive Ingenieur
1037	Back Office
1038	Bäcker
1039	Bademeister
1040	Baggerführer
1041	Bankangestellter
1042	Bankkauffrau
1043	Bankkaufmann
1044	Barkeeper
1045	Baugeräteführer
1046	Bauhelfer
1047	Bauingenieur
1048	Bauklemptner
1049	Baukonstrukteur
1050	Baukontrolleur
1051	Baukostenkalkulator
1052	Bauleiter
1053	Baumaschinenführer
1054	Bauprojektleiter
1055	Bauschlosser
1056	Baustoffprüfer
1057	Bautechniker
1058	Bauzeichner
1059	Behälterbauer
1060	Beleuchter
1061	Berater
1062	Beraterin
1063	Beratungsingenieur
1064	Berechnungsingenieur
1065	Bereichsleiter
1066	Bergbauingenieur
1067	Berufseinsteiger
1068	Berufskraftfahrer
1069	Beschichter
1070	Bestücker
1071	Beteiligungscontroller
1072	Betonbauer
1073	Betriebsassistent
1074	Betriebselektriker
1075	Betriebsingenieur
1076	Betriebsleiter
1077	Betriebsmittelkonstrukteur
1078	Betriebsschlosser
1079	Betriebstechniker
1080	Betriebswirt
1081	Bewährungshelfer
1082	Bezirksleiter
1083	Bibliothekar
1084	Bilanzbuchhalter
1085	Bildbearbeiter
1086	Bildhauer
1087	Bildungsberater
1088	Binnenschiffer
1089	Biochemiker
1090	Bioinformatiker
1091	Biologe
1092	Biologielaborant
1093	Biologin
1094	Biologisch Technischer Assistent
1095	Biostatistician
1096	Biotechnologe
1097	Blechschlosser
1098	Blogger
1099	Bodenleger
1100	Bodensteward
1101	Bootsbauer
1102	Botschafter
1103	Brand Consultant
1104	Brandschutzfachmann
1105	Brauer
1106	Briefsortierer
1107	Buchbinder
1108	Buchhalter
1109	Buchhalterin
1110	Buchhändler
1111	Büroangestellte
1112	Bürohilfskraft
1113	Bürokauffrau
1114	Bürokaufmann
1115	Bürokraft
1116	Busfahrer
1117	Business
1118	Business Manager
1119	Business Unit Manager
1120	Business Analyst
1121	Business Consultant
1122	Business Development Manager
1123	Business Process Analyst
1124	CAD Konstrukteur
1125	Callcenter Agent
1126	Case Manager
1127	Category Manager
1128	Change Manager
1129	Channel Account Manager
1130	Chauffeur
1131	Chefarzt
1132	Chefkoch
1133	Chefsekretärin
1134	Chemieingenieur
1135	Chemielaborant
1136	Chemikant
1137	Chemiker
1138	Chief Operating Officer
1139	Chirurg
1140	Chirurgiemechaniker
1141	Choreograph
1142	Clinical Research Manager
1143	Clubmanager
1144	CNC Abkanter
1145	CNC Bohrer
1146	CNC Dreher
1147	CNC Schleifer
1148	CNC Fräser
1149	Coach
1150	Coaching
1151	Commercial Manager
1152	Community Manager
1153	Compliance Officer
1154	Configuration Management Engineer
1155	Consultant
1156	Consultant SAP
1157	Content Manager
1158	Contract Manager
1159	Controller
1160	Country Manager
1161	Creative Director
1162	Customer Relationship Manager
1163	Customer Service Manager
1164	Dachdecker
1165	Data Mining Spezialist
1166	Datenbankadministrator
1167	Datenerfasser
1168	Datenschutzbeauftragter
1169	Datentechnischer Assistent
1170	Datentypist
1171	Debitoren Manager
